End Date,Buy Ccy,Sell Ccy,Counterparty Mnemonic,Currency,Buy Amount,Sell Amount,Principal Amount (Signed),Contract Rate,TOTAL_INTEREST_VALUE,PL Now Accrued PL (int),Entity,Deal Date,Start Date,Subtype,Deal No,PENDING_DAYS_TO_MATURITY,TOTAL_MATURITY_AMOUNT,Type ,Deal Status,Trading Book,Deal Type,Department,Spread Rate,Internal Rate,Dealer,LCY_AMOUNT_1,ORIGINAL_TENOR,Outstanding Notional,Omgeo Ref,Settlement Method,PayRec,Cpty Pay Agent Inst,Pay Nostro,Rec Nostro,Security Code,Buy/Sell,Quantity Traded,ISIN 1,Block Ref,Sec. Inv. Price,Sec. Accrued,Repo Amount,Block Amt,CCY1,CCY2
10/27/2025,,,UBA U.K.,USD,,,"500,000.00",107.25,,,UBAGCI,6/25/2021,6/29/2021,EBOND,103852,1195,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,YOUSHA349,"500,000.00",,,,,,,,,FBNNL 10/27/25,BUY,"500,000.00",XS2243733685,,"543,677.08","7,427.08",,,,
10/27/2025,,,UBA U.K.,USD,,,"585,000.00",107.25,,,UBAGCI,6/25/2021,6/29/2021,EBOND,103851,1195,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,YOUSHA349,"585,000.00",,,,,,,,,FBNNL 10/27/25,BUY,"585,000.00",XS2243733685,,"636,102.19","8,689.69",,,,
2/16/2026,,,UBA U.K.,USD,,,"1,000,000.00",100.297481,,,UBAGCI,3/17/2021,3/19/2021,EBOND,103857,1307,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,YOUSHA349,"1,000,000.00",,,,,,,,,BO0165072 (ECOTRA) V1,BUY,"1,000,000.00",XS2297197266,,"1,009,506.06","6,531.25",,,,
2/16/2026,,,UBA U.K.,USD,,,"481,000.00",100,,,UBAGCI,8/13/2021,8/17/2021,EBOND,103899,1307,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,RUBSCOT348,"481,000.00",,,,,,,,,BO0165072 (ECOTRA) V1,BUY,"481,000.00",XS2297197266,,"481,095.20",95.2,,,,
2/16/2026,,,UBA U.K.,USD,,,"250,000.00",100,,,UBAGCI,7/23/2021,7/27/2021,EBOND,103874,1307,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,YOUSHA349,"250,000.00",,,,,,,,,BO0165072 (ECOTRA) V1,BUY,"250,000.00",XS2297197266,,"257,966.15","7,966.15",,,,
2/16/2026,,,UBA U.K.,USD,,,"4,000,000.00",100.29641,,,UBAGCI,3/18/2021,3/22/2021,EBOND,103856,1307,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,YOUSHA349,"4,000,000.00",,,,,,,,,BO0165072 (ECOTRA) V1,BUY,"4,000,000.00",XS2297197266,,"4,040,356.41","28,500.00",,,,
2/16/2026,,,UBA U.K.,USD,,,"269,000.00",100,,,UBAGCI,7/28/2021,7/30/2021,EBOND,103881,1307,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,YOUSHA349,"269,000.00",,,,,,,,,BO0165072 (ECOTRA) V1,BUY,"269,000.00",XS2297197266,,"277,731.29","8,731.29",,,,
2/16/2026,,,UBA U.K.,USD,,,"1,000,000.00",100,,,UBAGCI,6/28/2021,6/30/2021,EBOND,103855,1307,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,YOUSHA349,"1,000,000.00",,,,,,,,,BO0165072 (ECOTRA) V1,BUY,"1,000,000.00",XS2297197266,,"1,026,520.83","26,520.83",,,,
2/16/2026,,,SCB-LONDON,USD,,,"3,000,000.00",100,,,UBAGCI,2/16/2021,2/16/2021,EBOND,103858,1307,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,YOUSHA349,"3,000,000.00",,,,,,,,,BO0165072 (ECOTRA) V1,BUY,"3,000,000.00",XS2297197266,,"3,000,000.00",0,,,,
9/21/2026,,,SCB-LONDON,USD,,,"500,000.00",100.95,,,UBAGCI,9/28/2021,9/30/2021,EBOND,103957,1524,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,YOUSHA349,"500,000.00",,,,,,,,,ACCESS 09/21/26,BUY,"500,000.00",XS2388445764,,"505,515.63",765.63,,,,
9/21/2026,,,SCB-LONDON,USD,,,"2,000,000.00",100.95,,,UBAGCI,9/28/2021,9/30/2021,EBOND,103956,1524,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,YOUSHA349,"2,000,000.00",,,,,,,,,ACCESS 09/21/26,BUY,"2,000,000.00",XS2388445764,,"2,022,062.50","3,062.50",,,,
9/21/2026,,,SCB-LONDON,USD,,,"5,000,000.00",98.5,,,UBAGCI,2/17/2022,2/22/2022,EBOND,104355,1524,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,MOHNIR349,"5,000,000.00",,,,,,,,,ACCESS 09/21/26,BUY,"5,000,000.00",XS2388445764,,"5,053,454.86","128,454.86",,,,
9/21/2026,,,SCB-LONDON,USD,,,"4,500,000.00",98.75,,,UBAGCI,2/9/2022,2/11/2022,EBOND,104356,1524,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,MOHNIR349,"4,500,000.00",,,,,,,,,ACCESS 09/21/26,BUY,"4,500,000.00",XS2388445764,,"4,550,937.50","107,187.50",,,,
9/21/2026,,,SCB-LONDON,USD,,,"2,500,000.00",101,,,UBAGCI,10/22/2021,10/26/2021,EBOND,104021,1524,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,YOUSHA349,"2,500,000.00",,,,,,,,,ACCESS 09/21/26,BUY,"2,500,000.00",XS2388445764,,"2,539,887.15","14,887.15",,,,
9/21/2026,,,SCB-LONDON,USD,,,"1,000,000.00",101,,,UBAGCI,10/21/2021,10/25/2021,EBOND,104020,1524,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,YOUSHA349,"1,000,000.00",,,,,,,,,ACCESS 09/21/26,BUY,"1,000,000.00",XS2388445764,,"1,015,784.72","5,784.72",,,,
9/21/2026,,,SCB-LONDON,USD,,,"5,000,000.00",101.176,,,UBAGCI,9/17/2021,9/21/2021,EBOND,103944,1524,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,YOUSHA349,"5,000,000.00",,,,,,,,,ACCESS 09/21/26,BUY,"5,000,000.00",XS2388445764,,"5,058,800.00",0,,,,
9/21/2026,,,SCB-LONDON,USD,,,"2,000,000.00",101,,,UBAGCI,10/21/2021,10/25/2021,EBOND,104019,1524,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,YOUSHA349,"2,000,000.00",,,,,,,,,ACCESS 09/21/26,BUY,"2,000,000.00",XS2388445764,,"2,031,569.44","11,569.44",,,,
9/21/2026,,,SCB-LONDON,USD,,,"2,500,000.00",100.95,,,UBAGCI,9/30/2021,10/4/2021,EBOND,103961,1524,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,YOUSHA349,"2,500,000.00",,,,,,,,,ACCESS 09/21/26,BUY,"2,500,000.00",XS2388445764,,"2,529,279.51","5,529.51",,,,
11/19/2026,,,SCB-LONDON,USD,,,"50,000,000.00",100,,,UBAGCI,11/16/2021,11/19/2021,EBOND,104075,1583,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,RUBSCOT348,"50,000,000.00",,,,,,,,,UBANL 6.75 11/19/26,BUY,"50,000,000.00",XS2409171225,,"50,000,000.00",0,,,,
2/11/2027,,,SCB-LONDON,USD,,,"2,000,000.00",79.5,,,UBAGCI,2/7/2022,2/9/2022,EBOND,104347,1667,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,MOHNIR349,"2,000,000.00",,,,,,,,,GHANA 6.375 02/11/2027,BUY,"2,000,000.00",XS2115122538,,"1,653,041.67","63,041.67",,,,
2/11/2027,,,UBA U.K.,USD,,,"3,000,000.00",79.25,,,UBAGCI,2/11/2022,2/15/2022,EBOND,104352,1667,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,MOHNIR349,"3,000,000.00",,,,,,,,,GHANA 6.375 02/11/2027,BUY,"3,000,000.00",XS2115122538,,"2,379,625.00","2,125.00",,,,
2/11/2027,,,SCB-LONDON,USD,,,"2,000,000.00",79.375,,,UBAGCI,2/8/2022,2/10/2022,EBOND,104362,1667,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,RUBSCOT348,"2,000,000.00",,,,,,,,,GHANA 6.375 02/11/2027,BUY,"2,000,000.00",XS2115122538,,"1,650,895.83","63,395.83",,,,
2/11/2027,,,UBA U.K.,USD,,,"2,000,000.00",81.15,,,UBAGCI,2/3/2022,2/7/2022,EBOND,104344,1667,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,MOHNIR349,"2,000,000.00",,,,,,,,,GHANA 6.375 02/11/2027,BUY,"2,000,000.00",XS2115122538,,"1,685,333.33","62,333.33",,,,
2/11/2027,,,SCB-LONDON,USD,,,"3,000,000.00",81.75,,,UBAGCI,2/3/2022,2/7/2022,EBOND,104345,1667,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,MOHNIR349,"3,000,000.00",,,,,,,,,GHANA 6.375 02/11/2027,BUY,"3,000,000.00",XS2115122538,,"2,546,000.00","93,500.00",,,,
2/11/2027,,,SCB-LONDON,USD,,,"3,000,000.00",81,,,UBAGCI,2/4/2022,2/8/2022,EBOND,104346,1667,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,MOHNIR349,"3,000,000.00",,,,,,,,,GHANA 6.375 02/11/2027,BUY,"3,000,000.00",XS2115122538,,"2,524,031.25","94,031.25",,,,
2/11/2027,,,SCB-LONDON,USD,,,"4,000,000.00",78.5625,,,UBAGCI,2/17/2022,2/22/2022,EBOND,104350,1667,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,MOHNIR349,"4,000,000.00",,,,,,,,,GHANA 6.375 02/11/2027,BUY,"4,000,000.00",XS2115122538,,"3,150,291.67","7,791.67",,,,
2/11/2027,,,SCB-LONDON,USD,,,"4,000,000.00",78.125,,,UBAGCI,2/18/2022,2/22/2022,EBOND,104349,1667,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,MOHNIR349,"4,000,000.00",,,,,,,,,GHANA 6.375 02/11/2027,BUY,"4,000,000.00",XS2115122538,,"3,133,500.00","8,500.00",,,,
2/11/2027,,,SCB-LONDON,USD,,,"1,000,000.00",78.75,,,UBAGCI,2/16/2022,2/18/2022,EBOND,104351,1667,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,MOHNIR349,"1,000,000.00",,,,,,,,,GHANA 6.375 02/11/2027,BUY,"1,000,000.00",XS2115122538,,"788,739.58","1,239.58",,,,
2/11/2027,,,SCB-LONDON,USD,,,"3,000,000.00",82.25,,,UBAGCI,2/1/2022,2/3/2022,EBOND,104354,1667,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,MOHNIR349,"3,000,000.00",,,,,,,,,GHANA 6.375 02/11/2027,BUY,"3,000,000.00",XS2115122538,,"2,558,875.00","91,375.00",,,,
2/11/2027,,,SCB-LONDON,USD,,,"3,000,000.00",79.5,,,UBAGCI,2/11/2022,2/15/2022,EBOND,104353,1667,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,MOHNIR349,"3,000,000.00",,,,,,,,,GHANA 6.375 02/11/2027,BUY,"3,000,000.00",XS2115122538,,"2,387,125.00","2,125.00",,,,
9/28/2028,,,SCB-LONDON,USD,,,"12,000,000.00",100.5,,,UBAGCI,10/21/2021,10/25/2021,EBOND,104018,2262,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,YOUSHA349,"12,000,000.00",,,,,,,,,NGERIA 09/28/28,BUY,"12,000,000.00",XS2384698994,,"12,115,125.00","55,125.00",,,,
9/28/2028,,,SCB-LONDON,USD,,,"3,000,000.00",100.5,,,UBAGCI,10/19/2021,10/21/2021,EBOND,104006,2262,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,YOUSHA349,"3,000,000.00",,,,,,,,,NGERIA 09/28/28,BUY,"3,000,000.00",XS2384698994,,"3,026,739.58","11,739.58",,,,
9/28/2028,,,SCB-LONDON,USD,,,"2,000,000.00",100.5,,,UBAGCI,10/20/2021,10/22/2021,EBOND,104009,2262,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,YOUSHA349,"2,000,000.00",,,,,,,,,NGERIA 09/28/28,BUY,"2,000,000.00",XS2384698994,,"2,018,166.67","8,166.67",,,,
9/28/2028,,,CHAPEL HILL DEN,USD,,,"5,500,000.00",100,,,UBAGCI,9/24/2021,9/28/2021,EBOND,103955,2262,,,STARTED,/BANK/GCI/SECGCI,SEC_BUY_SELL,SEC,0,0,YOUSHA349,"5,500,000.00",,,,,,,,,NGERIA 09/28/28,BUY,"5,500,000.00",XS2384698994,,"5,500,000.00",0,,,,
